"","Paper..Authors...Year.","Paper.Name","Trait","Counter.or.Co.x","Population.Number","Comparison.a.or.b.","Point.on.gradient","Treatment","Experiment..","Population.Home.Env","Comparison.population","Value","Standard.Deviation","Sample.Size","Notes","alt_trait","yi","vi","Title","Year","Class","Species","Gradient","number.of.traits","Trait.type","Counter.or.Co.y","Data.collection","Number.of.populations","Number.of.Treatments","Experiment.type..CG.or.RT.","distance.between.analyzed..a.and.b..populations..km.","elevation.between.analyzed..a.and.b..populations..m.","notes","X.1","X.2"
"1","Arendt and Reznick 2005","Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?","growth rate","Co",1,"a","","high","1",2,"b",0.032119553,0.00443831,7,"","growth_rate",1.83291886102301,0.405699698253353,"Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?",2005,"Actinopterygii","Poecilia reticulata","resource availability",1,"physiological","co","graph",4,2,"RT",NA,NA,"","",""
"2","Arendt and Reznick 2005","Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?","growth rate","Co",1,"a","","low","1",1,"a",0.017743086,0.004781202,7,"","growth_rate",1.85848927387073,0.409070799324735,"Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?",2005,"Actinopterygii","Poecilia reticulata","resource availability",1,"physiological","co","graph",4,2,"RT",NA,NA,"","",""
"3","Arendt and Reznick 2005","Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?","growth rate","Co",1,"a","","high","2",2,"b",0.033979797,0.005541106,15,"","growth_rate",1.06174347368022,0.152121653398376,"Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?",2005,"Actinopterygii","Poecilia reticulata","resource availability",1,"physiological","co","graph",4,2,"RT",NA,NA,"","",""
"4","Arendt and Reznick 2005","Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?","growth rate","Co",1,"a","","low","2",1,"a",0.020426419,0.004569318,15,"","growth_rate",0.694342486398812,0.141368524806975,"Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?",2005,"Actinopterygii","Poecilia reticulata","resource availability",1,"physiological","co","graph",4,2,"RT",NA,NA,"","",""
"5","Bradford and Roff 1995","Genetic and phenotypic sources of life history variation along a cline in voltinism in the cricket Allonemobius socius","diapause percentage","Co",1,"a","","average","1",NA,"",0.950554975,0.573225317,160,"","reproductive_rate",0.253122187632272,0.0126001106904246,"Genetic and phenotypic sources of life history variation along a cline in voltinism in the cricket Allonemobius socius",1995,"Insecta","Allonemobius socius","latitude",1,"life history","co","graph",2,2,"CG",NA,NA,"","",""
"6","Bradford and Roff 1995","Genetic and phenotypic sources of life history variation along a cline in voltinism in the cricket Allonemobius socius","diapause percentage","Co",1,"a","","early ","1",2,"b",0.707397902,0.774619762,160,"","reproductive_rate",0.203789750965662,0.0125648910353104,"Genetic and phenotypic sources of life history variation along a cline in voltinism in the cricket Allonemobius socius",1995,"Insecta","Allonemobius socius","latitude",1,"life history","co","graph",2,2,"CG",NA,NA,"","",""
"7","Bradford and Roff 1995","Genetic and phenotypic sources of life history variation along a cline in voltinism in the cricket Allonemobius socius","diapause percentage","Co",1,"a","","late","1",1,"a",1.221130059,0.157300189,160,"","reproductive_rate",0.00137493127525449,0.0125000029538063,"Genetic and phenotypic sources of life history variation along a cline in voltinism in the cricket Allonemobius socius",1995,"Insecta","Allonemobius socius","latitude",1,"life history","co","graph",2,2,"CG",NA,NA,"","",""
"8","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","gape width","Co",1,"a","","Plankton","1",1,"a",3.383112283,0.247223258,12,"","body_shape",1.93650478651364,0.244792724753963,"A COMPARISON OF TWO STICKLEBACKS",1994,"Actinopterygii","Gasterosteus aculeatus","prey type",4,"physiological","co","graph",2,2,"CG",NA,NA,"","",""
"9","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","gape width","Co",1,"a","","Worm","1",2,"b",3.425773677,0.316779673,12,"","body_shape",1.13112965238386,0.193321964385459,"A COMPARISON OF TWO STICKLEBACKS",1994,"Actinopterygii","Gasterosteus aculeatus","prey type",4,"physiological","co","graph",2,2,"CG",NA,NA,"","",""
"10","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","gill raker length","Co",1,"a","","Plankton","1",1,"a",0.794258628,0.07823094,12,"","body_shape",-4.1957463133664,0.533422648460994,"A COMPARISON OF TWO STICKLEBACKS",1994,"Actinopterygii","Gasterosteus aculeatus","prey type",4,"physiological","co","graph",2,2,"CG",NA,NA,"","",""
"11","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","gill raker length","Co",1,"a","","Worm","1",2,"b",0.757545133,0.076599631,12,"","body_shape",-3.56178407701429,0.43096470440151,"A COMPARISON OF TWO STICKLEBACKS",1994,"Actinopterygii","Gasterosteus aculeatus","prey type",4,"physiological","co","graph",2,2,"CG",NA,NA,"","",""
"12","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","head depth","Co",1,"a","","Plankton","1",1,"a",8.677205116,0.222682968,12,"","body_shape",1.85056766609397,0.238012514308177,"A COMPARISON OF TWO STICKLEBACKS",1994,"Actinopterygii","Gasterosteus aculeatus","prey type",4,"physiological","co","graph",2,2,"CG",NA,NA,"","",""
"13","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","head depth","Co",1,"a","","Worm","1",2,"b",8.750877047,0.248088267,12,"","body_shape",1.01082165181853,0.187953341912191,"A COMPARISON OF TWO STICKLEBACKS",1994,"Actinopterygii","Gasterosteus aculeatus","prey type",4,"physiological","co","graph",2,2,"CG",NA,NA,"","",""
"14","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","snout length","Co",1,"a","","Plankton","1",1,"a",3.326059437,0.147809897,12,"","body_shape",-3.49874761727951,0.421692393529564,"A COMPARISON OF TWO STICKLEBACKS",1994,"Actinopterygii","Gasterosteus aculeatus","prey type",4,"physiological","co","graph",2,2,"CG",NA,NA,"","",""
"15","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","snout length","Co",1,"a","","Worm","1",2,"b",3.240962083,0.167498564,12,"","body_shape",-2.68827230615139,0.317225166500427,"A COMPARISON OF TWO STICKLEBACKS",1994,"Actinopterygii","Gasterosteus aculeatus","prey type",4,"physiological","co","graph",2,2,"CG",NA,NA,"","",""
"16","Hutchings et al. 2007","Genetic variation in life-history reaction norms in a marine fish","growth rate","Co",1,"a","","11","1",2,"b",9.006596963,2.825521098,300,"low food","growth_rate",0.227925170457906,0.00670995823610689,"Genetic variation in life-history reaction norms in a marine fish",2007,"Actinopterygii","Gadus morhua","temperature",1,"physiological","co","graph",2,2,"CG",NA,NA,"","",""
"17","Hutchings et al. 2007","Genetic variation in life-history reaction norms in a marine fish","growth rate","Co",1,"a","","7","1",1,"a",7.365571322,2.418318656,300,"low food","growth_rate",0.161851398360259,0.00668849656262598,"Genetic variation in life-history reaction norms in a marine fish",2007,"Actinopterygii","Gadus morhua","temperature",1,"physiological","co","graph",2,2,"CG",NA,NA,"","",""
"18","Hutchings et al. 2007","Genetic variation in life-history reaction norms in a marine fish","growth rate","Co",1,"a","","11","2",2,"b",9.39904741,3.02830275,300,"high food","growth_rate",0.0769187395624532,0.0066715970770799,"Genetic variation in life-history reaction norms in a marine fish",2007,"Actinopterygii","Gadus morhua","temperature",1,"physiological","co","graph",2,2,"CG",NA,NA,"","",""
"19","Hutchings et al. 2007","Genetic variation in life-history reaction norms in a marine fish","growth rate","Co",1,"a","","7","2",1,"a",7.72793406,2.872754599,300,"high food","growth_rate",0.11307191830976,0.00667732104892521,"Genetic variation in life-history reaction norms in a marine fish",2007,"Actinopterygii","Gadus morhua","temperature",1,"physiological","co","graph",2,2,"CG",NA,NA,"","",""
"20","Jasienski 2009","COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE","developmental rate","Co",2,"b","1025","10","1",1,"a",3.528172285,0.083082419,10,"temperatures aren't true temperatures, just meant to show ~6 C difference mentioned in study (for scaling response across temperature analysis)","developmental_rate",-0.702810004857572,0.212348547573198,"COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE",2009,"Amphibia","Rana temporaria","elevation",3,"physiological","co","graph",2,2,"CG",NA,925,"","",""
"21","Jasienski 2009","COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE","developmental rate","Co",2,"b","1025","16","1",2,"b",3.17439105,0.152739044,10,"temperatures aren't true temperatures, just meant to show ~6 C difference mentioned in study (for scaling response across temperature analysis)","developmental_rate",-0.11911907153948,0.200354733830111,"COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE",2009,"Amphibia","Rana temporaria","elevation",3,"physiological","co","graph",2,2,"CG",NA,925,"","",""
"22","Jasienski 2009","COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE","growth rate","Co",1,"a","100","10","1",1,"a",0.05779436,0.008929568,10,"temperatures aren't true temperatures, just meant to show ~6 C difference mentioned in study (for scaling response across temperature analysis)","growth_rate",0.206936752138613,0.201070570484642,"COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE",2009,"Amphibia","Rana temporaria","elevation",3,"physiological","co","graph",2,2,"CG",NA,925,"","",""
"23","Jasienski 2009","COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE","growth rate","Co",1,"a","100","16","1",2,"b",0.043045948,0.021740945,10,"temperatures aren't true temperatures, just meant to show ~6 C difference mentioned in study (for scaling response across temperature analysis)","growth_rate",0.128905479104236,0.200415415563577,"COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE",2009,"Amphibia","Rana temporaria","elevation",3,"physiological","co","graph",2,2,"CG",NA,925,"","",""
"24","Jasienski 2009","COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE","mass","Co",2,"b","1025","10","1",1,"a",5.529350821,0.227806632,10,"temperatures aren't true temperatures, just meant to show ~6 C difference mentioned in study (for scaling response across temperature analysis)","body_size",-0.697412704176419,0.212159611998667,"COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE",2009,"Amphibia","Rana temporaria","elevation",3,"physiological","co","graph",2,2,"CG",NA,925,"","",""
"25","Jasienski 2009","COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE","mass","Co",2,"b","1025","16","1",2,"b",5.394822944,0.198249563,10,"temperatures aren't true temperatures, just meant to show ~6 C difference mentioned in study (for scaling response across temperature analysis)","body_size",-0.853356450269664,0.218205430780421,"COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE",2009,"Amphibia","Rana temporaria","elevation",3,"physiological","co","graph",2,2,"CG",NA,925,"","",""
"26","Kivela et al. 2012","Genetic and phenotypic variation in juvenile development in relation to temperature and developmental pathway in a geometrid moth","development time","co",1,"a","north","14","1",1,"a",28.37011713,0.30999988,12,"","developmental_rate",-2.37625650208414,0.311665037053723,"Genetic and phenotypic variation in juvenile development in relation to temperature and developmental pathway in a geometrid moth",2012,"Insecta","Cabera exanthemata","latitude",1,"physiological","co","graph",NA,NA,"CG",NA,NA,"","",""
"27","Kivela et al. 2012","Genetic and phenotypic variation in juvenile development in relation to temperature and developmental pathway in a geometrid moth","development time","co",1,"a","north","14","1",1,"a",28.37011713,0.30999988,12,"","developmental_rate",-2.37625650208414,0.311665037053723,"Genetic and phenotypic variation in juvenile development in relation to temperature and developmental pathway in a geometrid moth",2012,"Insecta","Cabera exanthemata","latitude",1,"physiological","counter","graph",NA,NA,"CG",NA,NA,"","",""
"28","Kivela et al. 2012","Genetic and phenotypic variation in juvenile development in relation to temperature and developmental pathway in a geometrid moth","development time","co",1,"a","north","20","1",2,"b",17.97616497,0.16901205,12,"","developmental_rate",-1.56289512953454,0.23884790574067,"Genetic and phenotypic variation in juvenile development in relation to temperature and developmental pathway in a geometrid moth",2012,"Insecta","Cabera exanthemata","latitude",1,"physiological","co","graph",NA,NA,"CG",NA,NA,"","",""
"29","Kivela et al. 2012","Genetic and phenotypic variation in juvenile development in relation to temperature and developmental pathway in a geometrid moth","development time","co",1,"a","north","20","1",2,"b",17.97616497,0.16901205,12,"","developmental_rate",-1.56289512953454,0.23884790574067,"Genetic and phenotypic variation in juvenile development in relation to temperature and developmental pathway in a geometrid moth",2012,"Insecta","Cabera exanthemata","latitude",1,"physiological","counter","graph",NA,NA,"CG",NA,NA,"","",""
"30","Kong et al. 2019","Linking thermal adaptation and life-history theory explains latitudinal patterns of voltinism","developmental rate","co",1,"a","northern","30","1",1,"a",19.3,6.69,106,"","developmental_rate",-0.892212087126431,0.0714934364255681,"Linking thermal adaptation and life-history theory explains latitudinal patterns of voltinism",2019,"Insecta","Warramaba whitei","latitude",1,"physiological","co","table",2,2,"CG",NA,NA,"unclear distance, data was collected from supplementary r script (war16)","",""
"31","Kong et al. 2019","Linking thermal adaptation and life-history theory explains latitudinal patterns of voltinism","developmental rate","co",1,"a","northern","32","1",2,"b",17.8,2.22,4,"","developmental_rate",-1.54504754078066,0.948930991939363,"Linking thermal adaptation and life-history theory explains latitudinal patterns of voltinism",2019,"Insecta","Warramaba whitei","latitude",1,"physiological","co","table",2,2,"CG",NA,NA,"unclear distance, data was collected from supplementary r script (war16)","",""
"32","Li et al. 2018b","Phenotypic Consequences of Embryonic Responses to Developmental Temperatures in Two Latitudinally Separated Populations of Asian Yellow Pond Turtles","developmental rate","co",1,"a","","26","1",NA,"b",72.78939886,2.85654651,17,"","developmental_rate",1.57570481789122,0.170297998793975,"Phenotypic Consequences of Embryonic Responses to Developmental Temperatures in Two Latitudinally Separated Populations of Asian Yellow Pond Turtles",2018,"Reptilia","Mauremys mutica","latitude",3,"physiological","both","graph",2,2,"CG",702,NA,"","",""
"33","Li et al. 2018b","Phenotypic Consequences of Embryonic Responses to Developmental Temperatures in Two Latitudinally Separated Populations of Asian Yellow Pond Turtles","developmental rate","co",1,"a","","28","1",NA,"a",86.40991284,3.196734293,17,"","developmental_rate",1.25754926110984,0.162103775403473,"Phenotypic Consequences of Embryonic Responses to Developmental Temperatures in Two Latitudinally Separated Populations of Asian Yellow Pond Turtles",2018,"Reptilia","Mauremys mutica","latitude",3,"physiological","both","graph",2,2,"CG",702,NA,"","",""
"34","Luquet et al. 2019","Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient","mass","Co",5,"b","","16","1",1,"a",0.551822277,0.037213788,6,"","body_size",-3.56426464121264,0.862665934691613,"Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient",2019,"Amphibia","Rana arvalis","latitude",3,"physiological","both","graph",5,2,"CG",805,NA,"","",""
"35","Luquet et al. 2019","Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient","mass","Co",5,"b","","19","1",5,"b",0.491941032,0.035669064,6,"","body_size",-2.41700951030369,0.576747290537436,"Post‐glacial colonization routes coincide with a life‐history breakpoint along a latitudinal gradient",2019,"Amphibia","Rana arvalis","latitude",3,"physiological","both","graph",5,2,"CG",805,NA,"","",""
"36","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","adult weight","co",1,"a","","16","1",NA,"a",0.103,0.006480741,42,"only used LN and HB populations, exp 1 is females, exp2 is males","body_size",1.63207390736949,0.0600505310099144,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"37","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","adult weight","co",1,"a","","19","1",NA,"",0.136,0.008888194,79,"only used LN and HB populations, exp 1 is females, exp2 is males","body_size",1.31813947827649,0.029720164474939,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"38","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","adult weight","co",1,"a","","22","1",NA,"",0.185,0.007071068,50,"only used LN and HB populations, exp 1 is females, exp2 is males","body_size",2.2888893423957,0.0690256638813066,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"39","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","adult weight","co",1,"a","","24","1",NA,"",0.235,0.015231546,58,"only used LN and HB populations, exp 1 is females, exp2 is males","body_size",1.53845342582815,0.0432322404994192,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"40","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","adult weight","co",1,"a","","26","1",NA,"",0.263,0.012649111,40,"only used LN and HB populations, exp 1 is females, exp2 is males","body_size",1.95984170802439,0.0690704067168289,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"41","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","adult weight","co",1,"a","","28","1",NA,"b",0.305,0.023622024,62,"only used LN and HB populations, exp 1 is females, exp2 is males","body_size",1.28252304069186,0.0342259887176322,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"42","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","adult weight","co",1,"a","","16","2",NA,"a",0.144,0.00842615,71,"only used LN and HB populations, exp 1 is females, exp2 is males","body_size",0.882234899649638,0.0304857011311836,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"43","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","adult weight","co",1,"a","","19","2",NA,"",0.183,0.008660254,75,"only used LN and HB populations, exp 1 is females, exp2 is males","body_size",1.81986018808731,0.036977019696935,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"44","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","adult weight","co",1,"a","","22","2",NA,"",0.252,0.007483315,56,"only used LN and HB populations, exp 1 is females, exp2 is males","body_size",1.87554205278284,0.0501004605810674,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"45","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","adult weight","co",1,"a","","24","2",NA,"",0.297,0.014696938,54,"only used LN and HB populations, exp 1 is females, exp2 is males","body_size",1.80735989581263,0.0512236149801697,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"46","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","adult weight","co",1,"a","","26","2",NA,"",0.324,0.021633308,52,"only used LN and HB populations, exp 1 is females, exp2 is males","body_size",1.44677445873376,0.0459864955158612,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
